data,target,topic,articolo_url,prezzo,cta_url,bozza,status,post_id,pubblicato_il,reach_24h,engagement_24h,note
2026-06-08,privati,Reel 730 - 3 segnali paghi troppe tasse,https://www.atparma.com/blog/come-fare-730-online,,https://www.atparma.com/contatti?ref=fb-730-reel,,manuale,,,,,SETUP POST 1 - copy completa in scripts/n8n/post-setup-9.md
2026-06-10,privati,Carosello 730 checklist 12 documenti,https://www.atparma.com/blog/come-fare-730-online,,https://www.atparma.com/contatti?ref=fb-730-checklist,,manuale,,,,,SETUP POST 2 - 9 slide
2026-06-12,privati,Reel IMU comodato - errore comune,,,https://www.atparma.com/contatti?ref=fb-imu-comodato,,manuale,,,,,SETUP POST 6 - anticipato a ven 12 per scadenza acconto IMU 16/6
2026-06-15,privati,Post manifesto sede Borgo Riccio,,,https://www.atparma.com/contatti?ref=fb-manifesto,,manuale,,,,,SETUP POST 3 - foto sede-facciata-rose.jpg
2026-06-17,artigiani,Reel P.IVA forfettario - INPS dimenticata,https://www.atparma.com/blog/aprire-partita-iva-online,,https://www.atparma.com/contatti?ref=fb-piva-inps,,manuale,,,,,SETUP POST 4
2026-06-19,artigiani,Carosello forfettario vs ordinario tabella decisionale,https://www.atparma.com/blog/regime-forfettario-2026,,https://www.atparma.com/calcolatori/forfettario?ref=fb-forfettario-tabella,,manuale,,,,,SETUP POST 5 - 9 slide
2026-06-22,privati,Post valori - albo studio senza carta 24h,,,https://www.atparma.com/contatti?ref=fb-valori,,manuale,,,,,SETUP POST 7 - foto sede-archi-cortile.jpg
2026-06-24,privati,Reel before/after sede Borgo Riccio,,,https://clienti.atparma.com?ref=fb-sede-tour,,manuale,,,,,SETUP POST 8 - montaggio video sede
2026-06-26,pmi,Carosello crisi impresa 7 segnali bilancio,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/contatti?ref=fb-crisi-checklist,,manuale,,,,,SETUP POST 9 - 9 slide
2026-06-29,privati,Dichiarazione 730 scadenze,https://www.atparma.com/blog/come-fare-730-online,50,https://www.atparma.com/servizi/dichiarazione-730?ref=fb-730-scadenze,,bozza,,,,,MAC PLAN post 4
2026-07-01,pmi,Doveri sindaci art. 25-octies,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-sindaci,,bozza,,,,,MAC PLAN post 5
2026-07-03,artigiani,Apertura P.IVA artigiano,https://www.atparma.com/blog/aprire-partita-iva-online,610,https://www.atparma.com/servizi/piva-artigiano-commerciante?ref=fb-piva-art,,bozza,,,,,MAC PLAN post 6
2026-07-06,privati,Regime forfettario 2026 chi puo,https://www.atparma.com/blog/regime-forfettario-2026,549,https://www.atparma.com/calcolatori/forfettario?ref=fb-forfettario-chi,,bozza,,,,,MAC PLAN post 7
2026-07-08,pmi,Bilancio 2025 quando va depositato,,,https://www.atparma.com/servizi/consulenza-fiscale?ref=fb-bilancio-deposito,,bozza,,,,,MAC PLAN post 8
2026-07-10,artigiani,Scadenze fiscali luglio,,,https://www.atparma.com/strumenti/scadenze?ref=fb-scadenze-luglio,,bozza,,,,,MAC PLAN post 9 (era giugno - aggiornato a luglio)
2026-07-13,privati,Quadro RW cripto 2026,https://www.atparma.com/blog/cripto-quadro-rw-2026,98,https://www.atparma.com/servizi/quadro-rw?ref=fb-rw-cripto,,bozza,,,,,MAC PLAN post 10
2026-07-15,pmi,Esperto indipendente CCII,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-esperto-cn,,bozza,,,,,MAC PLAN post 11
2026-07-17,artigiani,Contabilita semplificata,,1464,https://www.atparma.com/servizi/contabilita-professionista-semplificata?ref=fb-contab-semp,,bozza,,,,,MAC PLAN post 12
2026-07-20,privati,730 precompilato conviene,https://www.atparma.com/blog/730-precompilato-conviene,50,https://www.atparma.com/servizi/dichiarazione-730?ref=fb-730-preco,,bozza,,,,,MAC PLAN post 13
2026-07-22,pmi,Misure protettive composizione negoziata,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-misure-prot,,bozza,,,,,MAC PLAN post 14
2026-07-24,artigiani,INPS gestione artigiani calcolo,,,https://www.atparma.com/calcolatori/forfettario?ref=fb-inps-art,,bozza,,,,,MAC PLAN post 15
2026-07-27,privati,Detrazioni dimenticate nel 730,https://www.atparma.com/blog/come-fare-730-online,50,https://www.atparma.com/servizi/dichiarazione-730?ref=fb-detrazioni,,bozza,,,,,MAC PLAN post 16
2026-07-29,pmi,Concordato preventivo vs composizione negoziata,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-concordato,,bozza,,,,,MAC PLAN post 17
2026-07-31,artigiani,Fatturazione elettronica forfettari,,,https://www.atparma.com/servizi/piva-professionista?ref=fb-fe-forf,,bozza,,,,,MAC PLAN post 18
2026-08-03,privati,Ravvedimento operoso cripto,https://www.atparma.com/blog/ravvedimento-cripto-quadro-rw,,https://www.atparma.com/servizi/quadro-rw-ravvedimento?ref=fb-ravv-cripto,,bozza,,,,,MAC PLAN post 19
2026-08-05,pmi,OCC e ruolo nel CCII,https://www.atparma.com/blog/sovraindebitamento-2026-come-uscire-dai-debiti,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-occ,,bozza,,,,,MAC PLAN post 20
2026-08-07,artigiani,F24 a pagamento quando scatta,,,https://www.atparma.com/strumenti/scadenze?ref=fb-f24-pag,,bozza,,,,,MAC PLAN post 21
2026-08-10,privati,Calcolatore forfettario gratuito,https://www.atparma.com/calcolatori/forfettario,,https://www.atparma.com/calcolatori/forfettario?ref=fb-calc-grat,,bozza,,,,,MAC PLAN post 22
2026-08-12,pmi,Piano risanamento attestato art.56,https://www.atparma.com/blog/composizione-negoziata-crisi-impresa-2026,,https://www.atparma.com/servizi/crisi-di-impresa?ref=fb-piano-ris,,bozza,,,,,MAC PLAN post 23
2026-08-14,artigiani,Commercialista online vs studio,https://www.atparma.com/blog/commercialista-online,,https://www.atparma.com/contatti?ref=fb-com-online,,bozza,,,,,MAC PLAN post 24
